time_s,s1_cm,s2_cm,distance_cm,n_peaks,prom
14.033333333333333,9.700000000000001,33.050000000000004,23.35,2,2.908218765258789
17.833333333333332,9.700000000000001,31.85,22.15,2,3.824042463302612
17.866666666666667,9.9,32.0,22.1,2,3.876886129379272
17.9,10.0,32.15,22.15,2,3.900434398651123
17.933333333333334,10.200000000000001,32.25,22.049999999999997,2,3.851664590835571
17.966666666666665,10.350000000000001,32.4,22.049999999999997,2,3.831238222122192
18.0,10.55,32.550000000000004,22.000000000000004,2,3.836279392242431
18.033333333333335,10.700000000000001,32.75,22.049999999999997,2,3.8103816032409665
18.066666666666666,10.850000000000001,32.9,22.049999999999997,2,3.8810451030731197
18.1,11.0,33.050000000000004,22.050000000000004,2,3.848105430603027
18.133333333333333,11.05,33.2,22.150000000000002,2,3.921227931976318
18.166666666666668,11.15,33.35,22.200000000000003,2,3.831278276443481
18.2,11.3,33.5,22.2,2,3.9013850212097165
18.233333333333334,11.450000000000001,33.6,22.15,2,3.960072612762451
18.266666666666666,11.65,33.7,22.050000000000004,2,3.9693228244781493
18.3,12.0,33.800000000000004,21.800000000000004,2,3.9350934028625484
18.333333333333332,12.100000000000001,34.050000000000004,21.950000000000003,2,3.9006356716156003
18.366666666666667,12.200000000000001,34.300000000000004,22.1,2,3.8861737251281734
18.4,12.65,34.5,21.85,2,3.8114720821380614
18.433333333333334,12.9,35.25,22.35,2,3.822315454483032
18.466666666666665,13.100000000000001,35.550000000000004,22.450000000000003,2,3.924420595169067
18.5,13.25,35.85,22.6,2,4.06881742477417
18.533333333333335,13.450000000000001,36.050000000000004,22.6,2,4.011071109771728
18.566666666666666,13.8,36.35,22.55,2,4.037469911575317
18.6,14.200000000000001,36.5,22.299999999999997,2,4.06130256652832
18.633333333333333,14.4,36.65,22.25,2,4.056633567810058
18.666666666666668,14.55,36.85,22.3,2,3.974909400939941
18.7,14.600000000000001,37.0,22.4,2,3.960676765441894
18.733333333333334,14.700000000000001,37.15,22.449999999999996,2,3.9851950168609616
18.766666666666666,14.850000000000001,37.35,22.5,2,4.046679067611694
18.8,15.05,37.5,22.45,2,4.033288240432739
18.833333333333332,15.200000000000001,37.6,22.4,2,4.026599168777466
18.866666666666667,15.350000000000001,37.75,22.4,2,4.014250755310059
18.9,15.450000000000001,37.9,22.449999999999996,2,3.906652498245239
18.933333333333334,15.65,38.050000000000004,22.400000000000006,2,3.838092184066772
18.966666666666665,15.850000000000001,38.25,22.4,2,3.8982751369476314
19.0,16.05,38.35,22.3,2,3.9936728477478023
19.033333333333335,16.25,38.550000000000004,22.300000000000004,2,3.986935043334961
19.066666666666666,16.400000000000002,38.7,22.3,2,3.9046063899993895
19.1,16.55,38.900000000000006,22.350000000000005,2,3.8928237438201903
19.133333333333333,16.7,39.150000000000006,22.450000000000006,2,3.9504458904266353
19.166666666666668,16.900000000000002,39.35,22.45,2,4.043016099929809
19.2,17.05,39.6,22.55,2,4.057853555679321
19.233333333333334,17.25,39.800000000000004,22.550000000000004,2,4.056316804885864
19.266666666666666,17.45,40.1,22.650000000000002,2,4.0259239196777346
19.3,17.6,40.25,22.65,2,3.987329578399658
19.333333333333332,17.8,40.35,22.55,2,3.9428539276123042
19.366666666666667,17.95,40.550000000000004,22.600000000000005,2,3.9212079048156734
19.4,18.2,40.7,22.500000000000004,2,3.8929969787597654
19.433333333333334,18.55,40.800000000000004,22.250000000000004,2,3.9083711624145505
19.466666666666665,18.75,40.95,22.200000000000003,2,3.962326669692993
19.5,18.95,41.1,22.150000000000002,2,3.9879717826843257
19.533333333333335,19.150000000000002,41.35,22.2,2,3.9975360870361327
19.566666666666666,19.35,41.650000000000006,22.300000000000004,2,4.007721900939941
19.6,19.55,41.900000000000006,22.350000000000005,2,4.039714622497558
19.633333333333333,19.700000000000003,42.1,22.4,2,4.042614221572876
19.666666666666668,19.85,42.25,22.4,2,3.9941735267639156
19.7,20.05,42.400000000000006,22.350000000000005,2,3.9577127456665036
19.733333333333334,20.3,42.550000000000004,22.250000000000004,2,3.958350276947021
19.766666666666666,20.5,43.1,22.6,2,3.9370473861694335
21.7,7.1000000000000005,32.2,25.1,2,4.191809558868408
21.733333333333334,7.75,32.35,24.6,2,4.197799015045166
21.766666666666666,8.85,32.45,23.6,2,4.188915967941284
21.8,9.200000000000001,32.550000000000004,23.35,2,4.199417543411255
21.833333333333332,9.3,32.65,23.349999999999998,2,4.172495365142822
21.866666666666667,9.35,32.75,23.4,2,4.128987693786621
21.9,9.600000000000001,32.85,23.25,2,4.1116188049316404
21.933333333333334,10.05,32.95,22.900000000000002,2,4.12455735206604
21.966666666666665,10.25,33.050000000000004,22.800000000000004,2,4.079752588272094
22.0,10.25,33.2,22.950000000000003,2,3.9914071083068845
22.033333333333335,10.3,33.35,23.05,2,3.9587100982666015
22.066666666666666,10.5,33.5,23.0,2,3.9662529945373532
22.1,10.75,33.6,22.85,2,3.96387243270874
22.133333333333333,10.8,33.65,22.849999999999998,2,3.8818932533264157
22.166666666666668,11.950000000000001,33.800000000000004,21.85,2,3.7873510360717773
22.2,12.100000000000001,33.9,21.799999999999997,2,3.782054853439331
22.233333333333334,12.200000000000001,33.95,21.75,2,3.728498220443725
22.266666666666666,12.4,34.1,21.700000000000003,2,3.679681015014648
22.3,12.600000000000001,34.2,21.6,2,3.6277288913726804
22.333333333333332,12.8,34.35,21.55,2,3.5685546398162837
22.366666666666667,12.950000000000001,34.7,21.75,2,3.5999632358551024
22.4,13.100000000000001,35.15,22.049999999999997,2,3.659974956512451
22.433333333333334,13.25,35.45,22.200000000000003,2,3.685859727859497
22.466666666666665,13.450000000000001,35.7,22.25,2,3.6654013156890866
22.5,13.700000000000001,36.1,22.4,2,3.596326971054077
22.533333333333335,13.9,36.35,22.450000000000003,2,3.555352401733398
22.566666666666666,14.100000000000001,36.4,22.299999999999997,2,3.563004446029663
22.6,14.200000000000001,36.6,22.4,2,3.563374614715576
22.633333333333333,14.4,36.7,22.300000000000004,2,3.5546721458435058
22.666666666666668,14.600000000000001,37.7,23.1,2,3.5592303276062007
22.7,14.8,37.85,23.05,2,3.538812637329101
22.733333333333334,14.9,37.800000000000004,22.900000000000006,2,3.5432870388031
22.766666666666666,15.05,38.300000000000004,23.250000000000004,2,3.5499290466308593
22.8,15.25,38.5,23.25,2,3.5701761722564695
22.833333333333332,15.450000000000001,38.7,23.25,2,3.6089704513549803
22.866666666666667,15.600000000000001,39.1,23.5,2,3.6223936557769774
22.9,15.75,39.400000000000006,23.650000000000006,2,3.6033044338226317
22.933333333333334,15.950000000000001,39.6,23.65,2,3.6355187892913814
22.966666666666665,16.1,39.75,23.65,2,3.723388624191284
23.0,16.3,39.800000000000004,23.500000000000004,2,3.7731534481048583
23.033333333333335,16.45,39.900000000000006,23.450000000000006,2,3.782260799407959
